Z 	 eigenvectors  (x = 0.0, y = 0.0)
84.0	[3,6]((-1.7608e-05,3.80662e-07,-1.87817e-05,6.53422e-06,0.00269116,2.56075e-07),(-8.40328e-07,-4.87859e-05,2.80267e-08,-0.0029576,6.09713e-06,-0.000186234),(2.74166e-05,-2.45465e-08,-0.000244873,1.86635e-07,0.000632687,1.11573e-06))
88.0	[3,6]((-1.69919e-05,4.05062e-07,-1.96484e-05,7.00713e-06,0.00290062,2.68977e-07),(-8.71693e-07,-4.8883e-05,2.7541e-08,-0.00316509,6.558e-06,-0.000189989),(2.79769e-05,-3.32809e-08,-0.000255839,1.97772e-07,0.000591574,1.10446e-06))
92.0	[3,6]((-2.56752e-05,2.44326e-07,-2.04773e-05,7.47422e-06,0.00311204,2.33671e-07),(-7.91806e-07,-4.91417e-05,3.14106e-08,-0.00336868,7.03578e-06,-0.000203984),(2.69027e-05,-6.67229e-08,-0.000266284,2.08307e-07,0.000542636,1.04784e-06))
96.0	[3,6]((-1.87948e-05,4.07454e-07,-2.12834e-05,7.94477e-06,0.00332682,2.87296e-07),(-8.96968e-07,-4.93699e-05,2.74172e-08,-0.00357308,7.51952e-06,-0.000200268),(2.81862e-05,-5.2487e-08,-0.000276384,2.18819e-07,0.0004847,1.08111e-06))
100.0	[3,6]((-2.12544e-05,3.86693e-07,-2.20701e-05,8.42747e-06,0.00354618,2.92674e-07),(-8.9052e-07,-4.97955e-05,2.84351e-08,-0.00378308,8.00275e-06,-0.000206844),(2.80505e-05,-6.04601e-08,-0.000286208,2.30123e-07,0.000419739,1.06919e-06))
104.0	[3,6]((-2.17459e-05,3.90759e-07,-2.28215e-05,8.91363e-06,0.00376769,2.99248e-07),(-9.03528e-07,-5.01906e-05,2.82375e-08,-0.00399403,8.49848e-06,-0.000210546),(2.81766e-05,-6.81271e-08,-0.000295622,2.41371e-07,0.000347254,1.04995e-06))
108.0	[3,6]((-2.26105e-05,3.89563e-07,-2.35544e-05,9.40217e-06,0.0039917,3.0735e-07),(-9.10184e-07,-5.03069e-05,2.82746e-08,-0.00420534,8.99956e-06,-0.000214593),(2.82229e-05,-7.59179e-08,-0.000304609,2.52373e-07,0.000267591,1.03148e-06))
112.0	[3,6]((-2.33972e-05,3.88103e-07,-2.426e-05,9.89126e-06,0.00421767,3.14737e-07),(-9.15937e-07,-5.02473e-05,2.82335e-08,-0.00441632,9.5055e-06,-0.000218288),(2.82649e-05,-8.31648e-08,-0.000313159,2.63283e-07,0.000180926,1.01079e-06))
116.0	[3,6]((-2.4195e-05,3.85572e-07,-2.4934e-05,1.03797e-05,0.00444523,3.2185e-07),(-9.19879e-07,-5.00339e-05,2.82138e-08,-0.00462642,1.00152e-05,-0.000221794),(2.82911e-05,-8.99551e-08,-0.000321266,2.74101e-07,8.74863e-05,9.88933e-07))
120.0	[3,6]((-2.49889e-05,3.79004e-07,-2.55712e-05,1.08664e-05,0.00467403,3.28327e-07),(-9.22392e-07,-4.96836e-05,2.82288e-08,-0.00483516,1.05279e-05,-0.000225106),(2.83101e-05,-9.72937e-08,-0.000328922,2.8484e-07,-1.24873e-05,9.67241e-07))
